Date : 2025-09-16 20:51:13
Directory : f:\Project\levilamina\1.4.x\CFSP
Total : 62 files,  6677 codes, 92 comments, 668 blanks, all 7437 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| f:\Project\levilamina\1.4.x\CFSP\.github\PULL_REQUEST_TEMPLATE.md                | Markdown |         10 |          0 |          9 |         19 |
| f:\Project\levilamina\1.4.x\CFSP\.github\workflows\build.yml                     | YAML     |         34 |         10 |         12 |         56 |
| f:\Project\levilamina\1.4.x\CFSP\.github\workflows\release.yml                   | YAML     |         68 |          0 |         17 |         85 |
| f:\Project\levilamina\1.4.x\CFSP\CHANGELOG.md                                    | Markdown |         87 |          0 |         58 |        145 |
| f:\Project\levilamina\1.4.x\CFSP\CHANGELOG_ZH.md                                 | Markdown |         90 |          0 |         61 |        151 |
| f:\Project\levilamina\1.4.x\CFSP\README.md                                       | Markdown |         14 |          0 |         12 |         26 |
| f:\Project\levilamina\1.4.x\CFSP\manifest.json                                   | JSON     |          7 |          0 |          0 |          7 |
| f:\Project\levilamina\1.4.x\CFSP\scripts\after_build.lua                         | Lua      |        105 |          1 |         19 |        125 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\CFSP.cpp                               | C++      |         21 |          1 |          8 |         30 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\CFSP.h                                 | C++      |         15 |          6 |         14 |         35 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\Config.h                               | C++      |         28 |          0 |          6 |         34 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\MemoryOperators.cpp                    | C++      |          2 |          2 |          3 |          7 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\PermissionConfig.h                     | C++      |         70 |          0 |          3 |         73 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Macros.h                          | C++      |          6 |          0 |          2 |          8 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\OperateResult.h                   | C++      |         44 |          0 |          9 |         53 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Schedule.h                        | C++      |         17 |          0 |          5 |         22 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Utils.cpp                         | C++      |         45 |          0 |          6 |         51 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Utils.h                           | C++      |          9 |          0 |          6 |         15 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\fix\CFSPFixManager.cpp            | C++      |        122 |         10 |         11 |        143 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\fix\CFSPFixManager.h              | C++      |         11 |          0 |          1 |         12 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.cpp               | C++      |         30 |          0 |          4 |         34 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.h                 | C++      |         15 |          0 |          4 |         19 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupData.h                 | C++      |         14 |          0 |          2 |         16 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupPermission.h           | C++      |         32 |          0 |          0 |         32 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPAutoFuncHelper.cpp     | C++      |         73 |          0 |          3 |         76 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPHelperManager.cpp      | C++      |         13 |          0 |          2 |         15 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPHelperManager.h        | C++      |         18 |          0 |          5 |         23 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPOperateHelper.cpp      | C++      |         46 |          0 |          3 |         49 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPSaveHelper.cpp         | C++      |        153 |          0 |          7 |        160 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPSchduleHelper.cpp      | C++      |         11 |          0 |          3 |         14 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CacheUUidName.cpp          | C++      |          0 |          0 |          1 |          1 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPGroupManager.cpp      | C++      |        189 |          1 |         12 |        202 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.cpp           | C++      |        209 |          0 |         25 |        234 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.h             | C++      |        206 |          0 |         24 |        230 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPPermissionManager.cpp | C++      |        353 |          5 |         14 |        372 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPSpManager.cpp         | C++      |        321 |         12 |         28 |        361 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayer.cpp           | C++      |        161 |          4 |         21 |        186 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayer.h             | C++      |         72 |          0 |         11 |         83 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerBase.cpp       | C++      |         31 |          0 |          7 |         38 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerInv.cpp        | C++      |        115 |          0 |          6 |        121 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerMessage.cpp    | C++      |         35 |          0 |          2 |         37 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerMove.cpp       | C++      |         37 |          0 |          3 |         40 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerOperate.cpp    | C++      |        154 |          1 |          7 |        162 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerPermission.h   | C++      |         32 |          0 |          1 |         33 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSave.cpp       | C++      |         63 |          0 |          3 |         66 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSaveData.h     | C++      |         21 |          0 |          2 |         23 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerStatus.cpp     | C++      |         56 |          0 |          4 |         60 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.cpp     | C++      |         69 |          3 |          8 |         80 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.h       | C++      |         19 |          1 |          5 |         25 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\GroupCommand.cpp      | C++      |        514 |         13 |         17 |        544 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\GuiCommand.cpp        | C++      |         40 |          3 |          4 |         47 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\SpCommand.cpp         | C++      |        621 |         16 |         24 |        661 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.cpp            | C++      |        190 |          0 |         12 |        202 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.h              | C++      |        113 |          0 |          7 |        120 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateGroupGui.cpp       | C++      |        689 |          0 |         52 |        741 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateSpGui.cpp          | C++      |        726 |          0 |         52 |        778 |
| f:\Project\levilamina\1.4.x\CFSP\src\lang\en_US.json                             | JSON     |          7 |          0 |          0 |          7 |
| f:\Project\levilamina\1.4.x\CFSP\src\lang\zh_CN.json                             | JSON     |        267 |          0 |          0 |        267 |
| f:\Project\levilamina\1.4.x\CFSP\tooth.json                                      | JSON     |         26 |          0 |          0 |         26 |
| f:\Project\levilamina\1.4.x\CFSP\xmake.lua                                       | XMake    |         59 |          3 |          8 |         70 |
| Total                                                                            |          |      6,677 |         92 |        668 |      7,437 |
+----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
