Date : 2025-09-13 22:56:00
Directory : f:\Project\levilamina\1.4.x\CFSP
Total : 66 files,  5327 codes, 87 comments, 592 blanks, all 6006 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSp.cpp        | C++      |        393 |         14 |         24 |        431 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSpInv.cpp     | C++      |         59 |          0 |          4 |         63 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSpMessage.cpp | C++      |         26 |          0 |          2 |         28 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSpMove.cpp    | C++      |         44 |          0 |          3 |         47 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSpOperate.cpp | C++      |         55 |          0 |          3 |         58 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSpStatus.cpp  | C++      |         29 |          0 |          2 |         31 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayer.cpp          | C++      |        160 |          4 |         21 |        185 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayer.h            | C++      |         72 |          0 |         11 |         83 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerBase.cpp      | C++      |         33 |          0 |          7 |         40 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerInv.cpp       | C++      |        115 |          0 |          6 |        121 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerMessage.cpp   | C++      |         35 |          0 |          2 |         37 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerMove.cpp      | C++      |         37 |          0 |          3 |         40 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerOperate.cpp   | C++      |        154 |          1 |          7 |        162 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerPermission.h  | C++      |         31 |          0 |          1 |         32 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSave.cpp      | C++      |         63 |          0 |          3 |         66 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSaveData.h    | C++      |         21 |          0 |          2 |         23 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerStatus.cpp    | C++      |         56 |          0 |          4 |         60 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.cpp    | C++      |         68 |          3 |          8 |         79 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.h      | C++      |         19 |          1 |          5 |         25 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\GroupCommand.cpp     | C++      |        152 |          5 |          5 |        162 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\GuiCommand.cpp       | C++      |         40 |          3 |          4 |         47 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\SpCommand.cpp        | C++      |        545 |         15 |         23 |        583 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.cpp           | C++      |        189 |          0 |         12 |        201 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.h             | C++      |         73 |          0 |          6 |         79 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateGroupGui.cpp      | C++      |          5 |          0 |          2 |          7 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateSpGui.cpp         | C++      |        724 |          0 |         52 |        776 |
| f:\Project\levilamina\1.4.x\CFSP\src\lang\en_US.json                            | JSON     |          7 |          0 |          0 |          7 |
| f:\Project\levilamina\1.4.x\CFSP\src\lang\zh_CN.json                            | JSON     |        222 |          0 |          0 |        222 |
| f:\Project\levilamina\1.4.x\CFSP\tooth.json                                     | JSON     |         26 |          0 |          0 |         26 |
| f:\Project\levilamina\1.4.x\CFSP\xmake.lua                                      | XMake    |         59 |          3 |          8 |         70 |
| Total                                                                           |          |      5,327 |         87 |        592 |      6,006 |
+---------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
