Date : 2025-09-27 21:38:09
Directory : f:\Project\levilamina\1.5.x\CFSP
Total : 61 files,  7323 codes, 95 comments, 767 blanks, all 8185 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerInv.cpp        | C++      |        115 |          0 |          6 |        121 |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerMessage.cpp    | C++      |         35 |          0 |          2 |         37 |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerMove.cpp       | C++      |         37 |          0 |          3 |         40 |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerPermission.h   | C++      |         32 |          0 |          1 |         33 |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSave.cpp       | C++      |         63 |          0 |          3 |         66 |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSaveData.h     | C++      |         21 |          0 |          2 |         23 |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerStatus.cpp     | C++      |         56 |          0 |          4 |         60 |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\command\ComandManager.cpp     | C++      |        113 |          4 |          9 |        126 |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\command\ComandManager.h       | C++      |         19 |          1 |          5 |         25 |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\command\GroupCommand.cpp      | C++      |        587 |         15 |         19 |        621 |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\command\GuiCommand.cpp        | C++      |         41 |          3 |          4 |         48 |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\command\SpCommand.cpp         | C++      |        622 |         16 |         24 |        662 |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\gui\GuiManager.cpp            | C++      |        193 |          0 |         12 |        205 |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\gui\GuiManager.h              | C++      |        128 |          0 |          7 |        135 |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\gui\OperateGroupGui.cpp       | C++      |        858 |          0 |         85 |        943 |
| f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\gui\OperateSpGui.cpp          | C++      |        922 |          0 |         87 |      1,009 |
| f:\Project\levilamina\1.5.x\CFSP\src\lang\en_US.json                             | JSON     |          7 |          0 |          0 |          7 |
| f:\Project\levilamina\1.5.x\CFSP\src\lang\zh_CN.json                             | JSON     |        313 |          0 |          0 |        313 |
| f:\Project\levilamina\1.5.x\CFSP\tooth.json                                      | JSON     |         26 |          0 |          0 |         26 |
| f:\Project\levilamina\1.5.x\CFSP\xmake.lua                                       | XMake    |         58 |          3 |          8 |         69 |
| Total                                                                            |          |      7,323 |         95 |        767 |      8,185 |
+----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
