Date : 2025-09-10 22:04:00
Directory : f:\Project\levilamina\1.4.x\CFSP
Total : 66 files,  4862 codes, 79 comments, 581 blanks, all 5522 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| f:\Project\levilamina\1.4.x\CFSP\.github\workflows\release.yml                  | YAML     |         68 |          0 |         17 |         85 |
| f:\Project\levilamina\1.4.x\CFSP\CHANGELOG.md                                   | Markdown |         87 |          0 |         58 |        145 |
| f:\Project\levilamina\1.4.x\CFSP\CHANGELOG_ZH.md                                | Markdown |         90 |          0 |         61 |        151 |
| f:\Project\levilamina\1.4.x\CFSP\README.md                                      | Markdown |         14 |          0 |         12 |         26 |
| f:\Project\levilamina\1.4.x\CFSP\manifest.json                                  | JSON     |          7 |          0 |          0 |          7 |
| f:\Project\levilamina\1.4.x\CFSP\scripts\after_build.lua                        | Lua      |        105 |          1 |         19 |        125 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\CFSP.cpp                              | C++      |         21 |          1 |          8 |         30 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\CFSP.h                                | C++      |         15 |          6 |         14 |         35 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\Config.h                              | C++      |         28 |          0 |          6 |         34 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\MemoryOperators.cpp                   | C++      |          2 |          2 |          3 |          7 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\PermissionConfig.h                    | C++      |         39 |          0 |          3 |         42 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Macros.h                         | C++      |          6 |          0 |          2 |          8 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\OperateResult.h                  | C++      |         35 |          0 |          8 |         43 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Schedule.h                       | C++      |         17 |          0 |          5 |         22 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Utils.cpp                        | C++      |         45 |          0 |          6 |         51 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Utils.h                          | C++      |          9 |          0 |          6 |         15 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\fix\CFSPFixManager.cpp           | C++      |        122 |         10 |         11 |        143 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\fix\CFSPFixManager.h             | C++      |         11 |          0 |          1 |         12 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.cpp              | C++      |         15 |          0 |          2 |         17 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.h                | C++      |         13 |          0 |          4 |         17 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupData.h                | C++      |         14 |          0 |          2 |         16 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupPermission.h          | C++      |          5 |          0 |          0 |          5 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPAutoFuncHelper.cpp    | C++      |         73 |          0 |          3 |         76 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPHelperManager.cpp     | C++      |         13 |          0 |          2 |         15 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPHelperManager.h       | C++      |         18 |          0 |          5 |         23 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPOperateHelper.cpp     | C++      |         46 |          0 |          3 |         49 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPSaveHelper.cpp        | C++      |        153 |          0 |          7 |        160 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPSchduleHelper.cpp     | C++      |         11 |          0 |          3 |         14 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CacheUUidName.cpp         | C++      |          0 |          0 |          1 |          1 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.cpp          | C++      |        265 |          5 |         29 |        299 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.h            | C++      |        143 |          0 |         14 |        157 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerGroup.cpp     | C++      |         38 |          0 |          5 |         43 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSp.cpp        | C++      |        396 |         13 |         25 |        434 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSpInv.cpp     | C++      |         45 |          0 |          3 |         48 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSpMessage.cpp | C++      |         27 |          0 |          2 |         29 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSpMove.cpp    | C++      |         45 |          0 |          3 |         48 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSpOperate.cpp | C++      |         57 |          0 |          3 |         60 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSpStatus.cpp  | C++      |         30 |          0 |          2 |         32 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayer.cpp          | C++      |        152 |          4 |         21 |        177 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayer.h            | C++      |         71 |          0 |         10 |         81 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerBase.cpp      | C++      |         35 |          0 |          8 |         43 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerInv.cpp       | C++      |         99 |          0 |          6 |        105 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerMessage.cpp   | C++      |         35 |          0 |          2 |         37 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerMove.cpp      | C++      |         33 |          0 |          3 |         36 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerOperate.cpp   | C++      |        154 |          1 |          7 |        162 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerPermission.h  | C++      |         31 |          0 |          1 |         32 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSave.cpp      | C++      |         59 |          0 |          4 |         63 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSaveData.h    | C++      |         21 |          0 |          3 |         24 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerStatus.cpp    | C++      |         56 |          0 |          4 |         60 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.cpp    | C++      |         68 |          3 |          8 |         79 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.h      | C++      |         19 |          1 |          5 |         25 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\GroupCommand.cpp     | C++      |          7 |          1 |          1 |          9 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\GuiCommand.cpp       | C++      |         40 |          3 |          4 |         47 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\SpCommand.cpp        | C++      |        492 |         15 |         23 |        530 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.cpp           | C++      |        182 |          0 |         12 |        194 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.h             | C++      |         65 |          0 |          6 |         71 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateGroupGui.cpp      | C++      |          5 |          0 |          2 |          7 |
| f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateSpGui.cpp         | C++      |        689 |          0 |         51 |        740 |
| f:\Project\levilamina\1.4.x\CFSP\src\lang\en_US.json                            | JSON     |          7 |          0 |          0 |          7 |
| f:\Project\levilamina\1.4.x\CFSP\src\lang\zh_CN.json                            | JSON     |        213 |          0 |          0 |        213 |
| f:\Project\levilamina\1.4.x\CFSP\tooth.json                                     | JSON     |         26 |          0 |          0 |         26 |
| f:\Project\levilamina\1.4.x\CFSP\xmake.lua                                      | XMake    |         59 |          3 |          8 |         70 |
| Total                                                                           |          |      4,862 |         79 |        581 |      5,522 |
+---------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
